date,winLoseNum,sumPointsNum,homeOrAwayPoints,halftime,hendikep,pointsInterval,halftimeAndRegularTime,winByPoints,winnerAndPoints,outcome,invest,prize
2021.12.28.,2,0,1,0,0,0,0,0,0,1,300,1200
2021.12.29.,4,0,0,0,0,0,0,0,0,1,500,1600
2021.12.30.,4,0,0,0,0,0,0,0,0,0,300,1200
2021.12.31.,3,0,1,0,0,0,0,0,0,1,200,740
2022.01.02.,6,0,0,0,0,0,0,0,0,0,200,1830
2022.01.02.,6,0,0,0,0,0,0,0,0,0,200,1435
2022.01.03.,5,0,0,0,0,0,0,2,0,0,200,1675
2022.01.03.,4,0,0,0,0,0,0,0,0,0,200,4040
2022.01.04.,4,0,0,0,0,0,0,0,0,0,200,813
2022.01.04.,4,0,0,0,0,0,0,0,0,1,200,1137
2022.01.04.,4,0,1,0,0,0,0,0,0,0,200,4415
2022.01.05.,5,0,0,0,0,0,0,0,0,0,400,1600
2022.01.05.,1,0,0,0,0,0,0,0,0,0,100,370
2022.01.06.,4,0,0,0,0,0,0,0,0,0,200,871
2022.01.07.,3,0,0,0,0,0,0,0,0,0,100,433
2022.01.07.,3,0,0,0,0,0,0,0,0,0,100,555
2022.01.07.,8,0,0,0,0,0,0,0,0,0,100,1477
